theni_tamil,normal_tamil
படிச்சுக்கிட்டே வேலை பார்க்க என்ன ரூல்ஸ்,பார்ட்-டைம் வேலை ரூல்ஸ் என்ன
பிசினஸ் பண்ண ஐடியாசொல்லுங்க,பிசினஸ் பண்ண ஐடியாஸ் குடுங்க
முதலீட்டாளர்கிட்ட பேச ஒரு ஸ்லைடு ரெடி பண்ணுங்க,ஸ்டார்ட்அப் பிட்ச் டெக் ரெடி பண்ணுங்க
பிசினஸ் திட்டத்தோட மேலோட்டமான விவரம் குடுங்க,பிசினஸ் பிளான் அவுட்லைன் குடுங்க
காசு பணம் மேலாண்மை பத்திச்சொல்லுங்க,ஃபைனான்ஸ் பேசிக்ஸ்சொல்லுங்க
முதலீடு போடுறவங்ககிட்ட எப்புடிப் பேசணும்,இன்வெஸ்டர் கிட்ட எப்படி பேசணும்
வியாபாரம் பண்ற முறையச்சொல்லுங்க,மார்க்கெட்டிங் பேசிக்ஸ்சொல்லுங்க
ஆன்லைன் மார்க்கெட்டிங் பத்தி ஆரம்பத்துல இருந்துசொல்லுங்க,டிஜிட்டல் மார்க்கெட்டிங் அறிமுகம்
நம்மள கூகுள்ல முன்னாடி கொண்டு வர்ற அந்த எஸ்சிஓ (SEO) பத்திச்சொல்லுங்க,எஸ்இஓ பேசிக்ஸ்சொல்லுங்க
வாட்ஸ்அப் பேஸ்புக்ல மார்க்கெட்டிங் பண்ற திட்டம்சொல்லுங்க,சோஷியல் மீடியா ஸ்ட்ரேட்டஜிசொல்லுங்க
நமக்குனு ஒரு பேரை உருவாக்குறது எப்புடி,பிராண்ட் உருவாக்குறது எப்படின்னுசொல்லுங்க
படிக்கிற புள்ளைங்க உடம்பை எப்புடிப் பாத்துக்கணும்,ஸ்டூடண்ட்ஸுக்கான ஹெல்த் டிப்ஸ் குடுங்க
உடற்பயிற்சி அட்டவணை போடுங்க,எக்சர்சைஸ் ஷெட்யூல் போடுங்க
சாப்பாட்டுத் திட்டம்சொல்லுங்க,டயட் பிளான்சொல்லுங்க
கண்ணை மூடுனா உடனே தூக்கம் வர என்ன பண்ணலாம்,தூக்கத்தை எப்படி இம்ப்ரூவ் பண்றது
வேலை செஞ்சு டயர்ட் ஆகுறத எப்புடி நிப்பாட்டுறது,பர்ன்அவுட்டை எப்படி தடுக்கிறது
மனசை ஒரு நிலைப்படுத்துறதப் பத்திச்சொல்லுங்க,மைண்ட்ஃபுல்னஸ் பேசிக்ஸ்
உணர்ச்சிகளை எப்புடிச் சரியான முறையில கையாளணும்,எமோஷனல் இன்டெலிஜென்ஸ் பத்திசொல்லுங்க
வேலையையும் குடுங்கம்பத்தையும் எப்புடிச் சமாளிக்கிறது,வேலைக்கும் வாழ்க்கைக்கும் நடுவுல எப்படி பேலன்ஸ் பண்றது
நீண்ட கால இலக்குகளை முடிவு பண்ணுங்க,லாங் டெர்ம் கோல்ஸ் செட் பண்ணுங்க
வாழ்க்கைத் திட்டமிடலுக்கு டிப்ஸ் குடுங்க,லைஃப் பிளானிங் டிப்ஸ்சொல்லுங்க
ஆபீஸ்க்கு அனுப்புற மாதிரி ஒரு மெயில் தட்டி விடுங்க,ஆபீஸ் விஷயமா ஒரு மெயில் எழுதி குடுங்க
பதில் வரலனா மறுக்கா ஒரு மெயில் போடுறது எப்புடி,மெயில் அனுப்புனதுக்கு அப்புறம் ஞாபகப்படுத்த ஒரு ஃபாலோ-அப் மெயில் ரெடி பண்ணுங்க
தப்பு பண்ணுங்கனா மன்னிப்பு கேக்க ஒரு மெயில் எழுதுங்க,மன்னிப்பு கேக்குற மாதிரி ஒரு மெயில் எழுதுங்க
மீட்டிங்ல பேச வேண்டிய சங்கதிய லிஸ்ட் போடுங்க,மீட்டிங்ல என்னென்ன பேசணும்னு ஒரு லிஸ்ட் ரெடி பண்ணுங்க
மீட்டிங்ல என்னதான் பேசினோம்னு ஒரு அறிக்கை குடுங்க,மீட்டிங்ல என்ன பேசினோம்னு ஒரு ரிப்போர்ட் எழுதுங்க
ஆபீஸ் அறிவிப்பு ஒன்னு ரெடி பண்ணுங்க,ஆபீஸ் நோட்டீஸ் ஒன்னு ரெடி பண்ணுங்க
எல்லாத்துக்கும் பொதுவா ஒரு லெட்டர் தட்டி விடுங்க,எல்லாருக்கும் அனுப்புற மாதிரி ஒரு சுற்றறிக்கை தயார் பண்ணுங்க
முறைப்படி ஒரு கடிதம் தயார் பண்ணுங்க,முறையான ஒரு லெட்டர் ரெடி பண்ணுங்க
இந்த மெயிலை மறுக்கா வேற மாதிரி மாத்தி எழுதுங்க,இந்த மெயிலை திரும்ப வேற மாதிரி எழுதுங்க
மெயிலை கொஞ்சம் பணிவா மரியாதையா மாத்தி எழுதுங்க,மெயில்ல இருக்குற விஷயத்தை இன்னும் கொஞ்சம் மரியாதையா மாத்துங்க
பெரிய மெயிலை மொக்கையாச் சுருக்கிக் குடுங்க,ரொம்ப நீளமான மெயிலை சுருக்கி குடுங்க
மெயிலை வரிசைப்படி பாயிண்ட்ஸா மாத்துங்க,மெயிலை பாயிண்ட் பாயிண்டா மாத்துங்க
மெயில்ல இருக்குறத மொழிபெயர்த்து விடுங்க,மெயில்ல இருக்குற மேட்டரை டிரான்ஸ்லேட் பண்ணுங்க
ஆவணத்துல ஏதாவது ஓட்டை இருக்கானு பாருங்க,டாகுமென்ட்ல ஏதாவது தப்பு இருக்கான்னு செக் பண்ணுங்க
எழுத்துப் பிழையச் சரி பண்ணுங்க,கிராமர் தப்பை சரி பண்ணுங்க
ஆபீஸ்ல கொடுக்குற மாதிரி நீட்டா மாத்தி எழுதுங்க,ஆபீஸ்ல கொடுக்குற மாதிரி இதை ப்ரொஃபஷனலா மாத்தி எழுதுங்க
அறிக்கையோட சுருக்கத்தைத் தயார் பண்ணுங்க,ரிப்போர்ட்டோட சுருக்கத்தை ரெடி பண்ணுங்க
வேர்டு பைலை அம்சமா மாத்துங்க,வேர்ட் டாகுமென்ட்டை நீட்டா டிசைன் பண்ணுங்க
வேர்டை பிடிஎஃப்-ஆ மாத்தி விடுங்க,வேர்டை பிடிஎஃப்-ஆ மாத்துங்க
பிடிஎஃப் ஃபைல்களை ஒன்னா ஒட்டி விடுங்க,ரெண்டு மூணு பிடிஎஃப் ஃபைலை ஒன்னா சேருங்க
இந்த மாசத்துக்கான ரிப்போர்ட் குடுங்க,மாதத்துக்கான ஒரு ரிப்போர்ட் ரெடி பண்ணுங்க
வாரா வாரம் நடந்த வேலைய ஒரு அறிக்கையா குடுங்க,வாராந்திர ரிப்போர்ட் ஒன்னு ரெடி பண்ணுங்க
தினமும் என்ன வேலை பார்த்தோம்னு சொல்ல ஒரு மாடல் குடுங்க,டெய்லி வேலையை அப்டேட் பண்ற மாதிரி ஒரு ஃபார்மேட் குடுங்க
வேலைத் திறனை மதிப்பிடுற அறிக்கையை விளக்குங்க,கேபிஐ ரிப்போர்ட்டை எக்ஸ்ப்ளைன் பண்ணுங்க
டேஷ்போர்டுல இருக்குறத மொக்கையாச்சொல்லுங்க,டேஷ்போர்டு சுருக்கத்தைசொல்லுங்க
தகவல் அட்டவணையை (Table) அம்சமா மாத்துங்க,டேட்டா டேபிளை நீட்டா டிசைன் பண்ணுங்க
எக்செல் சீட்டு ஒன்னு தயார் பண்ணுங்க,எக்செல் ஷீட் ஒன்னு ரெடி பண்ணுங்க
எக்செல் கணக்குக்கு ஒரு ஃபார்முலாசொல்லுங்க,எக்செல்ல ஃபார்முலாக்களை எழுதுங்க
வரைபடம் மற்றும் சார்ட் போட்டு விளக்குங்க,சார்ட் மற்றும் கிராப் போடுங்க
அறிக்கையில இருக்குற முக்கியமான சங்கதியச்சொல்லுங்க,ரிப்போர்ட்ல இருக்குற மெயின் விஷயங்களை விளக்குங்க
பிபிடி-யில போட வேண்டிய விஷயத்தைக் குடுங்க,பிரசன்டேஷன் ஸ்லைடுக்கு மேட்டர் குடுங்க
பிபிடி அம்சமா இருக்க ஒரு ஐடியாசொல்லுங்க,பிபிடி எப்படி டிசைன் பண்ணலாம்னு ஐடியாசொல்லுங்க
ஒரே பக்கத்துல எல்லாத்தையும் புரிய வைங்க,ஒரு ஸ்லைடுல மொத்த கதையையும்சொல்லுங்க
முக்கியமான சங்கதிய மட்டும் மொக்கையாச்சொல்லுங்க,மெயின் பாயிண்ட்ஸை மட்டும் சுருக்கமாசொல்லுங்க
முக்கியமான விஷயத்தை மேலோட்டமாச்சொல்லுங்க,முக்கியமான விஷயங்களை மேலோட்டமா விளக்குங்க
ஒரு விண்ணப்பம் (Proposal) எழுதிக்குடுங்க,ஒரு புரொப்போசல் எழுதி குடுங்க
பிசினஸ் தேவையைச் சொல்ல ஒரு அறிக்கை தயார் பண்ணுங்க,பிசினஸ் கேஸ் ஒன்னு ரெடி பண்ணுங்க
செலவு நஷ்டக் கணக்கைப் போட்டுப் பாருங்க,இதுல எவ்வளவு செலவாகும் எவ்வளவு லாபம் வரும்னு அனலைஸ் பண்ணுங்க
இதனால வர்ற லாபத்தையும் சிக்கலையும் அலசிப் பாருங்க,இதோட பிளஸ் மைனஸ் வாய்ப்புகள் மற்றும் ஆபத்துகளை அனலைஸ் பண்ணுங்க
இதுல என்ன பிரச்சனை (Risk) இருக்குனுசொல்லுங்க,இதுல என்ன ரிஸ்க் இருக்குன்னுசொல்லுங்க
தினசரி வேலைய ஒரு அட்டவணையா போடுங்க,டெய்லி டைம் டேபிள் போடுங்க
இந்த வாரத் திட்டத்தைச்சொல்லுங்க,வாராந்திர பிளான் ஒன்னு போடுங்க
நேரத்தை வீணாக்காம இருக்க வழிசொல்லுங்க,நேரத்தை எப்படி மேனேஜ் பண்றதுன்னு டிப்ஸ் குடுங்க
வேலையச் சட்டுனு முடிக்கச் சில ஐடியாசொல்லுங்க,வேலைய சீக்கிரம் முடிக்க சில ஐடியாஸ்சொல்லுங்க
செய்ய வேண்டிய வேலையை வரிசையா ஒரு லிஸ்ட் போடுங்க,செய்ய வேண்டிய வேலைகள் லிஸ்ட் போடுங்க
எது முக்கியமான வேலைனு பிரிச்சு வைங்க,எந்த வேலையை முதல்ல செய்யணும்னு பிரிச்சு வைங்க
சிதறாம எப்புடி வேலை பார்க்கிறது,கவனமா வேலை பார்க்க ஐடியா குடுங்க
அப்புறம் பாத்துக்கலாம்னு இழுத்தடிக்கிறத எப்புடி நிப்பாட்டுறது,வேலையை தள்ளிப்போடுறதை எப்படி நிறுத்துறது
வேலையையும் குடுங்கம்பத்தையும் எப்புடிச் சமாளிக்கிறது,வேலைக்கும் வாழ்க்கைக்கும் எப்படி பேலன்ஸ் பண்றது
மன உளைச்சலை எப்புடிச் சமாளிக்கிறது,டென்ஷனை எப்படி குறைக்கிறது
மீட்டிங் இருக்குனு ஒரு அலாரம் வச்சு விடுங்க,மீட்டிங் ஞாபகப்படுத்த ஒரு அலாரம் வையுங்க
இந்த வேலையச் செய்யணும்னு எனக்கு ஞாபகப்படுத்துங்க,இந்த வேலையை செய்யணும்னு ஞாபகப்படுத்துங்க
மறுக்கா கேக்குறத (Follow-up) எனக்கு ஞாபகம் பண்ணுங்க,ஃபாலோ-அப் பண்ண ஞாபகப்படுத்துங்க
மறுக்கா மறுக்கா ஞாபகப்படுத்த ஒரு ரிமைண்டர் வைங்க,திரும்பத் திரும்ப வர்ற மாதிரி ஒரு ரிமைண்டர் வையுங்க
காலெண்டர்ல வேலையத் திட்டமிடுங்க,காலெண்டர்ல வேலையை பிளான் பண்ணுங்க
தானா வேலை நடக்க (Automation) ஏதாச்சும் ஐடியாசொல்லுங்க,தானா வேலை நடக்க ஏதாவது ஐடியாசொல்லுங்க
வேலை முறையை இன்னும் நறுக்குனு மாத்துங்க,வேலை நடக்குற முறையை இன்னும் பெட்டராக்குங்க
பணம் கட்டணும்னு ஒரு அலாரம் வச்சு விடுங்க,பில் கட்ட ஞாபகப்படுத்த ஒரு அலாரம் வையுங்க
அறிக்கை குடுங்கக்கணும்னு எனக்கு ஞாபகம் பண்ணுங்க,ரிப்போர்ட் கொடுக்கணும்னு ஞாபகப்படுத்துங்க
காலையில செய்ய வேண்டிய வேலையை எனக்கு ஞாபகப்படுத்துங்க,காலையில செய்ய வேண்டிய விஷயங்களை ஞாபகப்படுத்துங்க
இந்தச் சாஃப்ட்வேர்ல என்ன விசேஷம் இருக்குனுசொல்லுங்க,இந்த சாஃப்ட்வேர்ல என்னென்ன ஸ்பெஷல் இருக்குன்னுசொல்லுங்க
எக்செல் சீட்டுல கணக்கு போடுறத கத்துக்கொடுங்க,எக்செல் எப்படி யூஸ் பண்றதுன்னு சொல்லித் தாங்க
பிபிடி எப்புடிப் பயன்படுத்தணும்னுசொல்லுங்க,பவர்பாயிண்ட் எப்படி யூஸ் பண்ணனும்
வேலையச் சட்டுனு முடிக்க என்னென்ன ஏஐ கருவி இருக்கு,வேலைய வேகமா முடிக்க என்னென்ன ஏஐ டூல்ஸ் இருக்கு
வீட்டுச் செலவுக்கு ஒரு கணக்கு போட ஒத்தாசை பண்ணுங்க,பட்ஜெட் போட ஹெல்ப் பண்ணுங்க
மாசச் செலவு எங்க போகுதுனு எப்புடி கண்டுபிடிக்கிறது,மாதச் செலவை எப்படி ட்ராக் பண்றது
காசை எப்புடிச் சிக்கனமா கையாளுறது,பணம் மிச்சம் பண்ண சில டிப்ஸ் குடுங்க
காச பெருக்குறதுக்கு முதலீடு செய்யுறது எப்புடி,முதலீடு பண்றதுல இருக்குற பேசிக்ஸ்சொல்லுங்க
மியூச்சுவல் ஃபண்ட்ல காசு போடுறதப் பத்திச்சொல்லுங்க,மியூச்சுவல் ஃபண்ட்னா என்னன்னு விளக்குங்க
மாசா மாசம் சிறுகச் சிறுகச் சேமிக்கிற அந்த எஸ்ஐபி (SIP) பத்திச்சொல்லுங்க,எஸ்ஐபி பிளான் பத்திசொல்லுங்க
வரியைக் குறைக்க என்னென்ன வழி இருக்கு,டேக்ஸ் மிச்சம் பண்ண என்னென்ன வழி இருக்கு
வருமான வரி பத்தி ஆரம்பத்துல இருந்துசொல்லுங்க,இன்கம் டேக்ஸ் பேசிக்ஸ்சொல்லுங்க
சம்பளத்துல என்னென்ன காசை உருவுவாங்க (பிடிப்பாங்க),சம்பளத்துல என்னென்ன பிடிப்பாங்கன்னுசொல்லுங்க
மாசத் தவணை எவ்வளவு வரும்னு கணக்கு போடுங்க,லோன் இஎம்ஐ-யை கணக்கு பண்ணுங்க
காப்பீடு (Insurance) பத்தி விவரமாச்சொல்லுங்க,இன்சூரன்ஸ் பேசிக்ஸ்சொல்லுங்க
மருத்துவக் காப்பீடு பத்திச்சொல்லுங்க,ஹெல்த் இன்சூரன்ஸ் பத்தி விளக்குங்க
பேங்க்ல லோன் வாங்குற அந்தத் தகுதியை எப்புடி ஏத்துறது,கிரெடிட் ஸ்கோரை எப்படி அதிகமாக்குறது
வாங்குன கடனை எப்புடி அடைக்கிறது,கடனை எப்படி மேனேஜ் பண்ணனும்
காசச் சேர்த்து வைக்க ஒரு திட்டம் போடுங்க,பணத்தை சேமிக்க ஒரு பிளான் போடுங்க
கடைக்கு என்னென்ன ஜாமான் வாங்கணும்னு ஒரு லிஸ்ட் போடுங்க,மளிகை சாமான் லிஸ்ட் போடுங்க
இன்னைக்கு என்ன குழம்பு வைக்கலாம்னு ஒரு ஐடியாசொல்லுங்க,என்னென்ன சமைக்கலாம்னு ஒரு பிளான் போடுங்க
உடம்பு செக்கப்புக்குப் போகணும்னு ஞாபகப்படுத்துங்க,ஹெல்த் செக்கப் போகணும்னு ஞாபகப்படுத்துங்க
தினசரி உடற்பயிற்சிக்கு ஒரு அட்டவணை குடுங்க,டெய்லி எக்சர்சைஸ் பண்ண ஒரு ஷெட்யூல் போடுங்க
நல்ல பழக்கவழக்கங்களை எப்புடி ஒட்டிக்க வைக்கிறது,நல்ல பழக்கங்களை எப்படி வளர்த்துக்கலாம்
கண்ணை மூடுனா உடனே தூக்கம் வர என்ன பண்ணலாம்,தூக்கத்தை எப்படி இம்ப்ரூவ் பண்றது
போன் பொட்டியப் பார்க்குற நேரத்தை எப்புடிப் பாதியாக்குறது,போன் பாக்குற டைமை எப்படி குறைக்கிறது
மனசு நிம்மதியா இருக்க வழிசொல்லுங்க,மனசு நிம்மதியா இருக்க சில டிப்ஸ்
மனசை ஒரு நிலைப்படுத்துறதப் பத்திச்சொல்லுங்க,மைண்ட்ஃபுல்னஸ் எப்படி பண்றது
புதுசா ஒன்னு கத்துக்க ஒரு வழி வரைபடம் போட்டுக்குடுங்க,புது ஸ்கில்ஸ் கத்துக்க ஒரு ரோடுமேப் குடுங்க
ரெஸ்யூமை மறுக்கா புதுப்பிச்சு விடுங்க,ரெஸ்யூமை அப்டேட் பண்ணுங்க
லிங்க்டு-இன் பக்கத்தை எப்புடி கெத்தா மாத்துறது,லிங்க்டு-இன் புரொபைலை எப்படி பெட்டராக்குறது
வேலைய விடுறதுக்கு ஒரு மெயில் தட்டி விடுங்க,ரிசைன் பண்றதுக்கு ஒரு மெயில் எழுதுங்க
தலைமையேற்கிறது (Leadership) பத்திச்சொல்லுங்க,லீடர்ஷிப் ஸ்கில்ஸ் பத்திசொல்லுங்க
வீட்ல இருந்து வேலை பார்க்க நல்ல ஐடியாசொல்லுங்க,வொர்க் ப்ரம் ஹோம் வேலை பார்க்க பெஸ்ட் ஐடியாஸ்
ஆபீஸும் வீடும் கலந்து வேலை பார்க்க வழிசொல்லுங்க,ஹைப்ரிட் வொர்க் பண்றதுக்கு டிப்ஸ்
கஸ்டமர்கிட்ட எப்புடிப் பேசணும்னுசொல்லுங்க,கஸ்டமர் கிட்ட எப்படி பேசணும்னுசொல்லுங்க
ஒரு சிக்கலுக்கு அடியில என்ன இருக்குனு எப்புடித் தெரியறது,பிரச்சனைக்கு என்ன காரணம்னு கண்டுபிடிக்கிறது எப்படி
ஏதாச்சும் தப்பு நடந்தா அதுக்கு ஒரு அறிக்கை எழுதுங்க,ஒரு இன்சிடென்ட் ரிப்போர்ட் எழுதுங்க
வாழ்க்கை முழுக்க முன்னேற ஒரு திட்டம் போடுங்க,லாங் டெர்ம் கரியர் பிளான் போடுங்க
வேலையோட தரத்தை எப்புடிச் சோதிக்கிறது,நம்ம பெர்ஃபார்மன்ஸ் எப்படி செக் பண்றது
பேங்குக்கு ஒரு லெட்டர் தட்டி விடுங்க,வங்கியில் ஒரு அப்ளிகேஷன் லெட்டர் கொடுக்கணும் எழுதி குடுங்க
பென்ஷன் காசு வர ஒரு லெட்டர் எழுதுங்க,பென்ஷன் சம்பந்தமா ஒரு லெட்டர் ரெடி பண்ணுங்க
அட்ரஸை மாத்த சொல்லி ஒரு லெட்டர் போடுங்க,முகவரி மாற்ற சொல்லி ஒரு லெட்டர் எழுதுங்க
பேரை மாத்த சொல்லி ஒரு லெட்டர் ரெடி பண்ணுங்க,பெயர் மாற்ற சொல்லி ஒரு கடிதம் எழுதுங்க
காப்பீட்டுக் காசை வாங்க ஒரு லெட்டர் எழுதுங்க,இன்சூரன்ஸ் க்ளைம் பண்ண ஒரு லெட்டர் ரெடி பண்ணுங்க
கரண்ட் ஆபீஸ்க்கு ஒரு புகார் லெட்டர் எழுதிக்குடுங்க,மின்சார ஆபீஸ்க்கு ஒரு கம்ப்ளைன்ட் எழுதுங்க
ஆதார் கார்டுல விவரத்தை மாத்த ஒரு லெட்டர் போடுங்க,ஆதார் கார்டு அப்டேட் பண்ண ஒரு லெட்டர்
பேங்க் கணக்குல என்ன நடந்திருக்குனு புரிய வைங்க,வங்கி ஸ்டேட்மெண்ட்டை விளக்குங்க
பேங்க்ல காசப் போட்டு வைக்கிற அந்த எஃப்டி (FD) பத்திச்சொல்லுங்க,எஃப்டி பத்திசொல்லுங்க
மாத்திரை முழுங்கணும்னு ஒரு அலாரம் வச்சு விடுங்க,மாத்திரை போட ஞாபகப்படுத்த ஒரு அலாரம் வையுங்க
டாக்டர் கிட்டப் போகணும்னு எனக்கு ஞாபகம் பண்ணுங்க,டாக்டரை பார்க்கப் போகணும்னு ஞாபகப்படுத்துங்க
காலையில நடைப்பயிற்சிக்குப் போக ஞாபகம் பண்ணுங்க,காலையில வாக்கிங் போக ஞாபகப்படுத்துங்க
சாமி கும்பிடணும்னு ஞாபகம் பண்ணுங்க,சாமி கும்பிடுற டைமை ஞாபகப்படுத்துங்க
டிவியில அந்த புரோகிராம் வரும்னு ஞாபகம் பண்ணுங்க,டிவி புரோகிராம் பார்க்க ஞாபகப்படுத்துங்க
வீட்டுக்கு ஒரு போன் அடிக்கணும்னு ஞாபகம் பண்ணுங்க,வீட்டுக்கு போன் பண்ண ஞாபகப்படுத்துங்க
பிறந்தநாளை ஞாபகம் பண்ணி விடுங்க,பிறந்தநாளை ஞாபகப்படுத்துங்க
இந்த டச் போனை எப்புடிப் பயன்படுத்துறது,ஸ்மார்ட்போன் எப்படி யூஸ் பண்றதுன்னு சொல்லித் தாங்க
வாட்ஸ்அப்ல மெசேஜ் போடுறது எப்புடி,வாட்ஸ்அப் எப்படி யூஸ் பண்ணனும்
வீடியோவுல முகம் பார்த்துப் பேசுறது எப்புடி,வீடியோ கால் பண்ணுங்கற ஸ்டெப்ஸ்சொல்லுங்க
இன்டர்நெட்ல பாதுகாப்பா இருக்கிறது எப்புடி,இன்டர்நெட் சேஃப்டி டிப்ஸ் குடுங்க
ஆன்லைன் திருட்டுப் பயலுவ கிட்ட ஜாக்கிரதையா இருக்க வழிசொல்லுங்க,ஆன்லைன் ஏமாத்துக்காரங்க கிட்ட இருந்து எப்படி தப்பிக்கிறது
போன் மூலமா காசு அனுப்புற அந்த யுபிஐ-யை எப்புடிப் பயன்படுத்துறது,யுபிஐ எப்படி யூஸ் பண்ணனும்
டாக்டர் கொடுத்த அந்த ரிப்போர்ட்டை விளக்குங்க,மெடிக்கல் ரிப்போர்ட்டை விளக்குங்க
மாத்திரையை எப்புடிப் பயன்படுத்தணும்னுசொல்லுங்க,மருந்தை எப்படி யூஸ் பண்ணனும்னுசொல்லுங்க
சாப்பாட்டுல என்னென்ன சத்து இருக்கணும்,சாப்பாட்டுல எதெல்லாம் இருக்கணும்
வயசானவங்க செய்யுற மாதிரி லேசான உடற்பயிற்சிசொல்லுங்க,பெரியவங்களுக்கான எக்சர்சைஸ்சொல்லுங்க
தண்ணி முழுங்கணும்னு (குடிக்கணும்னு) ஞாபகம் பண்ணுங்க,தண்ணி குடிக்க ஞாபகப்படுத்துங்க
சுற்றுலா போக ஒரு திட்டம் போடுங்க,டூர் போக பிளான் பண்ணுங்க
ரயில்ல போக டிக்கெட் எடுக்க வழிசொல்லுங்க,ட்ரெயின் டிக்கெட் புக் பண்ண ஸ்டெப்ஸ்சொல்லுங்க
நம்ம வீட்டுப் பெரியவங்களுக்கு கவர்மெண்ட்ல என்னென்ன விட்டுக்கொடுக்குறாங்க,சீனியர் சிட்டிசனுக்கு என்னென்ன சலுகை இருக்கு
வெள்ளந்தியா ஒரு லெட்டர் தட்டி விடுங்க,ஒரு சாதாரண லெட்டர் ஒன்னு எழுதுங்க
புரியுற மாதிரி மறுக்கா லேசா எழுதுங்க,ஈஸியான மொழியில திரும்ப எழுதுங்க
வெள்ளைக்கார பாஷைய நம்ம தமிழுக்கு மாத்திக் குடுங்க,இங்கிலீஷ்ல இருக்குறதை தமிழுக்கு மாத்துங்க
நம்ம தமிழை வெள்ளைக்கார பாஷைக்கு மாத்தி விடுங்க,தமிழ்ல இருக்குறதை இங்கிலீஷுக்கு மாத்துங்க
இந்தச்சொல்லுங்கக்கு என்ன பொருள்னுசொல்லுங்க,இந்த வார்த்தைக்கு என்ன அர்த்தம்னுசொல்லுங்க
கொஞ்சம் பணிவா ஒரு மெசேஜ் தட்டி விடுங்க,மரியாதையா ஒரு மெசேஜ் எழுதி குடுங்க
ஊர்ல உலகத்துல என்ன நடக்குதுனு மொக்கையாச்சொல்லுங்கப்பு,நியூஸை ஈஸியாசொல்லுங்க
கவர்மெண்ட்ல காசு வர்ற மாதிரி என்னென்ன திட்டம் இருக்கு,அரசு ஸ்கீம் பத்திசொல்லுங்க
வீட்ல ரெண்டு செடி கொடிய நட்டு வைக்க சின்னதா டிப்ஸ் கொடுங்க,தோட்டம் வளர்க்க சின்ன டிப்ஸ் குடுங்க
நம்ம சாமி புஸ்தகத்துல என்ன சொல்லியிருக்குனு மொக்கையாச்சொல்லுங்க,ஆன்மீக புத்தகங்கள சுருக்கமாசொல்லுங்க
மனசுக்குத் தெம்பைத் தர்ற மாதிரி நாலு வார்த்தைச்சொல்லுங்க,தன்னம்பிக்கை தரக்கூடிய வரிகள் / வாசகங்கசொல்லுங்க
எத வச்சாலும் மறந்து போகுது ஞாபகம் வச்சுக்க ஏதாச்சும்சொல்லுங்க,ஞாபக சக்தி கூட்ட டிப்ஸ்சொல்லுங்க
மூளைக்கு வேலை குடுங்கக்குற மாதிரி என்னென்ன செய்யலாம்,மைண்டை ஆக்டிவா வெச்சுக்க என்னென்ன பண்ணலாம்
இத ஞாபகப்படுத்த ஒரு அலாரம் வச்சுக்குடுங்க,ரிமைண்டர் செட் பண்றதுக்கு ஹெல்ப் பண்ணுங்க
செய்ய வேண்டிய வேலையை வரிசையா ஒரு லிஸ்ட் போடுங்க,ஒரு செக்லிஸ்ட் ரெடி பண்ணித் தாங்க
முக்கியமான மேட்டரை மட்டும் கொஞ்சம் குறிப்பு எடுத்துக்குடுங்க,நோட்ஸ் எடுக்க ஹெல்ப் பண்ண முடியுமா
தேனி வட்டார வழக்கு,சாதாரண தமிழ்
ஆஸ்பத்திரி பில்லுல என்னென்ன போட்டிருக்காங்கனு விவரமாச்சொல்லுங்கறது,மருத்துவ பில்லிங் விளக்கம்
ஆஸ்பத்திரி கட்டணத்த எப்புடி கணக்குப்போடுறாங்கனு தெரிஞ்சுக்கிறது,மருத்துவமனைக் கட்டணங்களைப் புரிந்துகொள்வது
கம்பெனி பேரு வச்ச மருந்துக்கும் சாதாரண மருந்துக்கும் என்ன வித்தியாசம்,பொதுவான மற்றும் வணிகப் பெயர் மருந்துகள் வேறுபாடு
மருந்து மாத்திரைய எப்புடிப் பத்திரமா கையாளணும்,மருந்து பாதுகாப்பு குறிப்புகள்
மருந்து டப்பால ஒட்டியிருக்கிற சீட்டை ஏன் கண்டிப்பா படிக்கணும்,லேபிள்களைப் படிப்பதன் முக்கியத்துவம்
மருந்தைக் கண்ட இடத்துல வைக்காம எப்புடிப் பத்திரப்படுத்துறது,மருந்து சேமிப்பு வழிகாட்டுதல்கள்
கிருமிநாசினி மருந்து பத்தித் தெரிஞ்சுக்கங்க,நோய் எதிர்ப்பு மருந்து விழிப்புணர்வு
டாக்டரக் கேக்காம நீங்களா ஏன் கண்ட மாத்திரைய முழுங்கக் கூடாது,ஏன் சுயமாக மருந்து எடுத்துக்கொள்ளக் கூடாது
ஒரு மருந்து இன்னொரு மருந்தோட சேர்ந்து வினை புரியுறதப் பத்தித் தெரிஞ்சுக்கங்க,மருந்துகளுக்கு இடையேயான வினை விழிப்புணர்வு
மருந்து சாப்பிட்டா வர்ற அந்த ஒவ்வாமை (சைடு எஃபெக்ட்) பத்தித் தெரிஞ்சுக்கிறது,பக்க விளைவுகள் குறித்த விழிப்புணர்வு
வீட்ல இருக்கிற பெரியவங்கள எப்புடிப் பாத்துக்கணும்,முதியோர் பராமரிப்பு அடிப்படைகள்
நோயாளியப் பாத்துக்குறவங்களுக்குச் சில ஐடியாக்கள்,பராமரிப்பாளர்களுக்கான ஆதரவு குறிப்புகள்
வீட்டுக்குள்ளேயே வச்சு வைத்தியம் பார்க்குற முறை,வீட்டுப் பராமரிப்பு அடிப்படைகள்
